"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT"
"BGR","BU","BG","BGR",100,"Bulgaria",11063,7744591,150,151,25.231,42.761
"CYP","CY","CY","CYP",196,"Cyprus",924,836321,142,145,33.219,35.043
"DNK","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058
"IRL","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177
"EST","EN","EE","EST",233,"Estonia",4239,1344312,150,154,25.793,58.674
"AUT","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683
"CZE","EZ","CZ","CZE",203,"Czech Republic",7727,10191762,150,151,15.338,49.743
"FIN","FI","FI","FIN",246,"Finland",30459,5246004,150,154,26.272,64.504
"FRA","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565
"DEU","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11
"GRC","GR","GR","GRC",300,"Greece",12890,11099737,150,39,21.766,39.666
"HUN","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07
"ISL","IC","IS","ISL",352,"Iceland",10025,295732,150,154,-18.48,64.764
"ITA","IT","IT","ITA",380,"Italy",29411,5864636,150,39,10.44,44.931
"LVA","LG","LV","LVA",428,"Latvia",6205,2301793,150,154,25.641,56.858
"LTU","LH","LT","LTU",440,"Lithuania",6268,3425077,150,154,23.897,55.336
"MLT","MT","MT","MLT",470,"Malta",32,402617,150,39,14.442,35.89
"BEL","BE","BE","BEL",56,"Belgium",0,10398049,150,155,4.664,50.643
"LUX","LU","LU","LUX",442,"Luxembourg",0,456613,150,155,6.088,49.771
"NLD","NL","NL","NLD",528,"Netherlands",3388,1632769,150,155,5.389,52.077
"NOR","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152
"POL","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125
"PRT","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309
"SVN","SI","SI","SVN",705,"Slovenia",2014,1999425,150,39,14.827,46.124
"ESP","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227
"SWE","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011
"GBR","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-2.9,54.16
